age,gender,study_hours,attendance,prev_grade,parent_education,internet_access,extra_classes,sleep_hours,stress_level,assignments_done,library_visits,sports,part_time_job,final_grade,pass_fail,grade_category
18,Female,7.6,53.5,99,Bachelor,1,1,9.9,High,1,3,1,0,87.7,1,A
21,Female,8.3,64.0,94,High School,1,0,4.9,Low,9,6,0,0,81.5,1,A
18,Male,4.4,64.6,85,Bachelor,1,0,7.1,Low,6,9,0,0,76.5,1,B
15,Female,3.0,98.7,63,Master,1,1,8.8,High,14,0,1,0,80.9,1,A
15,Female,2.6,50.9,73,Master,1,0,6.6,Low,8,13,0,0,74.0,1,B
21,Male,1.9,87.9,85,None,1,1,6.8,Low,6,12,1,1,79.3,1,B
16,Female,0.6,60.1,61,Master,1,1,9.9,Medium,15,0,0,1,69.1,1,B
15,Female,3.4,83.9,50,Master,1,1,6.6,Low,2,1,1,1,60.2,1,C
17,Female,2.7,65.2,87,Bachelor,1,1,7.6,Medium,16,12,0,0,89.2,1,A
18,Female,9.7,74.7,47,None,1,1,4.3,High,7,0,0,0,79.3,1,B
15,Male,5.6,90.0,78,High School,1,1,9.1,Medium,1,11,0,1,82.2,1,A
15,Female,3.5,88.2,82,None,0,1,7.9,High,19,14,1,0,98.4,1,A
16,Female,5.8,92.0,74,Master,1,0,6.4,Low,2,9,1,0,94.4,1,A
21,Male,1.4,43.6,88,High School,1,0,4.1,Low,7,11,0,1,44.4,1,D
21,Female,4.4,81.5,85,None,0,1,7.6,Medium,1,11,0,0,76.6,1,B
20,Male,6.3,48.4,77,None,1,1,4.1,High,18,9,1,1,83.0,1,A
16,Female,4.9,64.9,47,None,1,0,4.0,Low,16,12,1,0,75.0,1,B
17,Male,4.0,72.9,93,None,1,1,7.7,Medium,4,13,1,0,82.8,1,A
21,Male,9.9,64.2,76,Bachelor,1,0,5.1,Medium,19,10,1,1,100.0,1,A
18,Male,8.8,71.2,66,None,1,1,5.2,Medium,16,2,0,0,90.8,1,A
16,Male,6.2,99.8,67,Master,0,1,7.9,Low,9,5,0,0,91.0,1,A
15,Female,5.7,48.1,79,Master,1,1,4.3,High,8,9,0,0,68.6,1,B
18,Male,6.2,80.5,73,Bachelor,1,0,5.9,Low,5,10,1,0,82.4,1,A
18,Female,2.0,63.8,71,High School,1,1,4.9,Low,10,5,0,0,67.1,1,B
15,Male,4.0,48.0,54,High School,1,0,7.5,High,1,0,0,1,16.6,0,F
16,Male,0.4,49.5,83,Master,0,0,8.0,Medium,11,5,1,0,61.1,1,C
15,Male,4.8,97.0,56,Master,1,0,8.3,Low,11,4,0,0,82.6,1,A
20,Female,5.4,92.8,72,Bachelor,1,1,5.5,Medium,15,6,1,0,100.0,1,A
18,Male,2.3,94.4,86,High School,1,0,4.5,Medium,11,5,1,0,83.2,1,A
19,Female,9.6,99.5,85,High School,1,0,4.5,High,17,11,1,0,99.2,1,A
19,Female,9.1,52.5,91,None,1,1,6.6,High,12,11,0,1,93.8,1,A
17,Female,7.2,61.3,93,None,1,1,9.7,High,14,6,0,1,85.6,1,A
21,Female,5.3,80.2,55,None,1,1,5.3,Medium,15,1,1,0,86.3,1,A
15,Female,8.7,69.0,68,Bachelor,1,1,5.5,Medium,3,11,0,0,91.5,1,A
15,Female,1.3,65.1,48,Master,1,0,4.6,Low,11,0,0,0,45.0,1,D
17,Female,7.9,61.5,72,Bachelor,1,1,7.6,Medium,16,13,1,0,100.0,1,A
17,Female,1.2,75.6,99,High School,1,1,8.1,High,0,6,0,0,71.0,1,B
17,Female,7.9,74.5,88,Master,1,0,7.9,High,17,8,1,1,89.4,1,A
18,Male,2.8,49.7,68,None,0,0,9.2,High,15,1,1,0,52.7,1,C
20,Male,8.8,68.3,52,Bachelor,1,0,6.9,High,0,11,0,0,63.7,1,C
15,Male,9.4,73.2,60,Bachelor,0,0,4.8,Medium,9,6,0,1,69.3,1,B
18,Male,1.5,74.2,97,None,1,1,5.7,High,18,2,0,0,71.1,1,B
17,Male,4.6,52.6,60,Bachelor,1,1,8.0,Low,15,5,0,0,96.1,1,A
15,Female,9.8,84.5,44,None,1,1,7.7,Medium,13,2,1,0,100.0,1,A
18,Female,4.8,41.5,49,High School,1,1,7.2,High,1,12,0,1,39.6,0,F
20,Female,8.6,61.3,45,Master,0,0,8.1,Low,5,9,0,0,79.3,1,B
18,Female,5.9,86.8,95,High School,1,1,7.8,High,4,12,1,0,83.0,1,A
20,Female,3.8,73.8,90,High School,1,0,9.3,Medium,11,10,0,0,73.7,1,B
17,Female,2.9,55.7,96,None,1,1,7.5,Medium,3,10,0,1,65.7,1,B
20,Female,2.0,81.7,52,Bachelor,0,0,8.7,Low,3,10,1,0,68.5,1,B
15,Male,7.6,74.0,40,High School,1,1,5.5,Medium,4,4,0,1,73.0,1,B
17,Male,3.9,87.8,59,High School,1,0,8.1,Low,6,14,1,1,82.7,1,A
15,Male,5.1,84.1,96,High School,1,0,9.4,High,5,1,1,0,76.1,1,B
19,Male,4.9,76.6,86,Bachelor,1,0,6.3,Medium,12,7,1,0,87.9,1,A
16,Female,5.8,69.3,85,Bachelor,1,1,8.7,High,3,13,1,0,89.2,1,A
20,Female,8.7,48.0,47,None,1,1,8.3,High,12,7,0,0,69.7,1,B
16,Female,9.8,55.7,49,High School,1,0,4.4,Medium,3,6,1,1,60.3,1,C
16,Male,4.1,65.1,48,Master,1,1,7.5,High,9,5,1,0,61.7,1,C
20,Female,8.3,76.0,88,Bachelor,1,1,4.8,Low,19,0,0,0,100.0,1,A
17,Female,7.6,70.8,80,None,1,1,9.8,Low,0,7,0,0,84.9,1,A
19,Female,5.7,57.3,42,High School,1,1,8.9,Low,7,0,1,0,68.9,1,B
15,Male,9.6,40.4,50,Master,1,0,4.7,Medium,6,7,0,0,64.4,1,C
18,Female,2.0,69.8,51,Bachelor,1,0,4.7,High,4,10,1,0,47.1,1,D
15,Male,1.1,57.1,49,Master,1,1,7.6,High,2,1,1,0,48.9,1,D
18,Male,8.5,84.1,64,Bachelor,0,1,6.1,High,14,7,0,0,94.4,1,A
15,Male,4.4,41.4,88,None,1,1,4.2,High,16,9,0,0,65.9,1,B
20,Male,8.5,75.1,88,Master,0,1,7.2,Low,12,11,0,0,100.0,1,A
19,Female,8.9,96.5,64,High School,1,0,6.3,Medium,14,3,0,0,99.7,1,A
18,Male,0.6,50.5,50,High School,0,1,4.6,Low,18,6,0,0,57.5,1,C
21,Male,8.8,68.3,93,Bachelor,1,0,8.8,Low,19,4,1,0,100.0,1,A
17,Female,4.5,45.5,75,High School,1,1,9.5,Medium,13,7,1,0,91.3,1,A
15,Female,5.1,77.5,78,Master,1,0,8.5,Medium,12,11,1,1,91.9,1,A
15,Male,6.3,73.0,92,None,1,1,8.9,Low,11,14,1,0,100.0,1,A
18,Female,9.3,64.4,65,Bachelor,1,1,5.3,High,8,5,0,0,75.5,1,B
17,Male,0.2,71.3,53,Master,1,0,5.6,Medium,2,13,1,0,55.4,1,C
17,Male,4.8,93.8,78,Bachelor,1,0,5.3,Medium,10,14,0,0,83.0,1,A
20,Male,6.9,51.8,95,None,1,1,8.6,Low,9,4,0,1,93.2,1,A
21,Male,7.2,41.4,79,Bachelor,1,1,9.7,High,0,0,0,0,51.9,1,C
20,Female,6.9,91.7,40,High School,1,0,8.3,Medium,16,2,0,1,88.8,1,A
20,Male,1.3,74.6,95,High School,1,1,9.3,Low,12,9,0,0,94.5,1,A
20,Female,3.0,93.4,93,Bachelor,0,1,7.8,Medium,13,8,0,0,91.6,1,A
20,Female,3.6,75.8,43,None,1,0,6.3,High,0,14,0,1,39.3,0,F
20,Female,8.0,88.6,69,None,1,0,6.6,Low,1,13,1,0,97.9,1,A
19,Female,2.8,65.8,51,High School,1,1,4.5,Low,1,8,0,1,61.0,1,C
17,Male,2.1,85.0,95,None,1,1,4.2,High,6,4,1,0,64.2,1,C
20,Female,9.6,94.8,74,Bachelor,1,1,8.2,Low,8,2,0,1,100.0,1,A
17,Male,0.1,74.3,52,Master,1,1,6.6,High,3,5,0,0,53.2,1,C
17,Female,10.0,50.8,91,Bachelor,1,0,7.3,Low,1,4,0,0,87.0,1,A
16,Female,6.8,56.1,70,High School,1,0,7.3,High,18,14,0,1,78.3,1,B
19,Male,8.3,51.9,77,High School,1,0,5.7,Medium,4,0,1,0,64.8,1,C
20,Male,2.9,54.8,82,High School,1,0,6.9,Medium,8,1,0,0,59.5,1,C
15,Male,0.1,58.4,62,None,1,1,6.8,Medium,12,11,0,1,47.1,1,D
18,Female,7.4,73.3,43,Bachelor,0,1,6.3,Low,11,4,0,0,91.2,1,A
21,Female,8.3,75.3,91,Master,1,0,8.9,High,18,13,0,0,99.9,1,A
15,Male,7.4,65.6,55,Bachelor,1,0,6.7,High,8,8,1,1,63.4,1,C
19,Male,1.4,76.9,46,Master,1,1,7.6,Medium,9,11,0,0,70.4,1,B
18,Male,7.5,44.9,61,Bachelor,1,1,9.4,Medium,18,3,0,0,85.5,1,A
19,Male,7.7,45.3,68,High School,1,1,9.2,Medium,9,8,0,0,79.0,1,B
17,Female,6.6,50.3,50,Master,1,1,9.3,High,11,2,0,0,78.1,1,B
18,Male,7.7,71.1,95,Bachelor,1,1,5.6,Medium,13,0,0,0,100.0,1,A
17,Male,8.5,52.8,72,None,1,1,4.2,Low,7,5,0,0,88.6,1,A
15,Male,6.1,57.0,97,None,1,0,5.6,Medium,15,14,0,1,85.6,1,A
15,Male,0.9,64.0,68,Bachelor,0,0,5.7,Medium,16,9,1,0,73.9,1,B
18,Female,4.9,88.7,98,High School,1,0,9.5,High,19,13,1,1,97.9,1,A
18,Male,0.8,40.8,78,Master,1,1,7.9,Low,3,6,0,1,51.1,1,C
20,Female,4.1,79.0,51,Bachelor,1,1,4.5,High,5,3,0,1,52.7,1,C
19,Male,4.1,80.1,46,None,0,1,4.8,Low,11,9,0,0,78.7,1,B
20,Male,0.7,87.9,98,Master,0,0,4.9,Low,17,4,1,0,85.5,1,A
19,Female,3.5,96.0,94,None,0,0,7.8,Medium,6,3,0,0,81.1,1,A
20,Male,1.1,41.2,78,None,1,0,8.4,Medium,4,2,1,0,45.5,1,D
17,Female,8.1,49.2,81,Bachelor,0,0,9.2,High,9,0,0,0,58.6,1,C
18,Female,9.5,93.2,87,None,1,1,9.6,High,5,12,0,1,95.9,1,A
15,Male,0.7,67.5,65,Master,1,1,5.2,High,13,5,1,0,66.7,1,B
19,Female,9.6,73.9,79,High School,0,1,5.9,Low,5,9,0,0,90.6,1,A
19,Female,5.2,79.8,48,Bachelor,1,1,5.4,High,13,4,0,0,71.8,1,B
15,Female,3.0,80.7,80,Master,1,1,6.2,Low,11,10,0,1,91.2,1,A
20,Female,0.8,95.9,73,Bachelor,1,1,9.5,Low,11,0,0,1,88.3,1,A
19,Female,5.0,99.8,84,None,1,0,7.5,Low,7,4,1,0,94.6,1,A
21,Female,7.9,83.2,52,None,1,1,8.4,Low,9,5,1,0,100.0,1,A
17,Female,7.1,57.2,94,Master,1,1,6.9,Low,15,9,0,1,100.0,1,A
18,Female,0.5,92.8,94,Master,1,1,4.2,Medium,19,4,0,0,86.9,1,A
15,Male,0.7,43.0,75,High School,0,0,4.4,Low,7,0,0,1,31.8,0,F
18,Male,4.0,53.9,64,Master,1,0,7.2,Low,8,13,1,0,87.6,1,A
21,Female,3.0,93.8,63,Master,1,0,8.3,Medium,12,4,0,0,85.1,1,A
19,Male,2.3,55.4,83,Bachelor,1,1,5.3,Medium,19,9,0,0,78.4,1,B
19,Female,2.8,53.2,56,None,1,0,8.3,Medium,16,0,0,1,52.0,1,C
21,Female,8.0,48.3,41,Master,1,1,8.9,High,18,10,0,0,94.3,1,A
15,Male,9.3,91.5,52,High School,1,1,6.5,High,16,2,1,0,96.9,1,A
17,Female,4.1,70.0,70,Master,1,0,8.5,Low,6,11,1,0,83.3,1,A
16,Female,9.1,80.5,68,None,1,1,6.4,Low,0,12,0,0,89.3,1,A
15,Female,3.2,54.3,89,Master,1,1,8.1,Low,19,1,1,1,89.8,1,A
16,Female,4.8,85.5,67,Bachelor,1,0,8.6,Low,13,12,0,1,93.7,1,A
21,Male,2.3,85.6,99,None,1,1,10.0,Medium,16,0,0,0,89.7,1,A
20,Female,6.4,58.8,66,Master,1,0,6.1,High,12,3,0,1,64.6,1,C
16,Female,9.8,64.6,54,Bachelor,1,0,6.5,Medium,1,1,0,0,65.6,1,B
17,Female,6.0,52.6,70,None,1,1,5.0,High,13,4,1,0,66.1,1,B
20,Male,3.6,98.6,79,Master,0,1,5.2,Medium,0,9,1,1,84.6,1,A
16,Female,6.5,78.7,54,Bachelor,1,1,8.2,Low,4,0,0,0,82.6,1,A
21,Male,1.2,96.1,72,High School,1,1,9.5,High,6,11,0,0,76.1,1,B
20,Male,8.9,58.2,59,Bachelor,0,1,6.4,Low,18,9,0,0,96.9,1,A
21,Female,5.0,86.9,81,High School,1,1,5.1,High,13,0,1,1,76.4,1,B
16,Female,4.5,86.0,51,Master,1,1,5.7,High,13,10,1,0,80.7,1,A
21,Male,5.9,81.5,76,Bachelor,1,1,6.7,Low,14,9,0,0,100.0,1,A
17,Female,6.2,97.9,48,High School,1,0,5.7,Low,4,3,1,1,75.7,1,B
16,Male,0.7,63.6,62,None,1,1,5.4,Low,4,6,1,1,55.9,1,C
16,Male,6.8,47.8,47,Bachelor,1,0,8.4,Medium,1,13,0,1,60.0,1,C
16,Female,2.4,80.3,71,Master,1,1,4.0,High,17,13,0,0,92.8,1,A
15,Female,7.1,83.8,87,None,0,0,7.2,High,8,1,1,0,77.9,1,B
15,Male,8.2,74.5,53,High School,1,1,8.8,High,9,1,0,0,72.9,1,B
15,Male,8.0,52.4,66,Bachelor,1,0,5.6,Low,17,0,0,1,83.9,1,A
17,Male,5.5,70.3,64,Bachelor,1,0,7.6,High,3,4,0,1,53.3,1,C
20,Male,5.2,58.7,52,Master,0,1,8.0,High,7,5,0,1,63.4,1,C
21,Female,1.4,65.6,94,None,1,0,7.9,Low,17,12,1,0,80.1,1,A
19,Female,7.8,78.7,60,Bachelor,1,1,6.7,Low,19,5,0,0,100.0,1,A
16,Female,2.7,84.7,84,Bachelor,1,0,6.1,High,16,1,0,0,77.3,1,B
21,Female,5.0,53.9,70,None,1,0,9.0,Medium,15,11,0,0,80.1,1,A
16,Female,2.8,64.3,76,Bachelor,0,0,8.6,Low,17,11,1,0,84.8,1,A
17,Male,1.3,56.1,87,None,1,1,5.9,Medium,6,6,0,1,39.8,0,F
16,Female,6.3,51.9,97,None,1,0,4.6,Medium,0,5,0,0,56.2,1,C
15,Female,0.5,87.0,82,None,1,1,4.4,Medium,0,7,0,0,53.9,1,C
19,Female,7.5,94.6,93,Master,0,0,4.6,Medium,17,5,1,0,95.1,1,A
18,Female,3.2,62.2,44,None,1,0,7.5,Low,3,8,1,0,51.7,1,C
16,Female,0.0,85.1,52,None,1,0,4.3,High,19,9,1,1,62.9,1,C
21,Male,5.1,93.8,67,High School,0,0,6.0,High,19,1,0,0,82.9,1,A
15,Male,0.5,90.8,82,High School,1,1,8.5,Low,3,6,1,0,75.9,1,B
18,Male,2.8,51.0,64,Master,0,1,5.8,Low,5,4,0,0,52.7,1,C
19,Female,7.1,97.4,90,None,1,1,8.6,Medium,2,0,1,0,93.3,1,A
18,Male,0.6,62.6,74,High School,1,0,8.5,Medium,5,2,0,0,54.7,1,C
15,Male,8.4,60.4,86,High School,0,0,5.5,Low,12,3,1,0,86.2,1,A
20,Female,0.0,43.7,78,Bachelor,0,0,8.4,High,6,11,0,0,36.3,0,F
20,Female,2.5,69.2,46,None,1,1,8.5,Medium,3,1,1,0,54.6,1,C
18,Female,7.4,46.5,77,High School,0,0,6.4,Low,0,6,1,0,70.8,1,B
17,Male,3.2,54.9,71,Master,1,1,5.3,Low,5,0,0,0,70.1,1,B
21,Male,1.0,59.0,42,Bachelor,1,0,7.1,Low,4,2,1,0,41.6,1,D
21,Female,3.6,88.5,84,Bachelor,1,0,9.5,Medium,12,11,0,0,91.8,1,A
18,Female,2.7,92.5,78,None,1,0,7.8,Low,18,8,1,1,89.5,1,A
16,Male,8.4,58.1,76,None,0,0,5.0,High,3,10,1,0,60.1,1,C
16,Male,3.1,91.5,94,Bachelor,1,1,8.1,Low,5,13,1,0,100.0,1,A
21,Female,7.9,91.4,89,Master,0,0,6.6,Medium,12,1,0,1,90.3,1,A
21,Female,8.9,85.9,61,None,1,1,7.5,High,4,4,0,0,90.4,1,A
20,Male,4.3,48.8,47,None,1,0,8.4,High,12,3,1,0,58.5,1,C
17,Female,9.1,81.4,56,Bachelor,1,1,7.1,Low,9,11,1,0,100.0,1,A
15,Male,3.8,96.7,91,Bachelor,0,0,8.9,Low,2,2,0,1,73.6,1,B
16,Male,9.6,81.0,66,None,1,1,8.3,High,12,4,0,1,85.5,1,A
21,Male,0.9,59.9,72,High School,1,1,7.7,Low,11,5,0,1,62.0,1,C
20,Male,6.9,70.0,85,None,1,1,4.9,Medium,3,0,1,0,80.6,1,A
19,Female,4.9,78.7,56,High School,1,0,9.0,High,9,1,1,1,62.3,1,C
20,Female,3.9,70.6,81,Bachelor,1,1,9.6,Low,2,0,0,0,87.2,1,A
16,Male,6.3,47.2,51,High School,1,0,4.8,High,16,2,0,0,48.9,1,D
16,Male,7.0,58.7,87,Master,1,0,6.9,Low,8,7,0,1,83.1,1,A
20,Male,0.0,88.1,85,Bachelor,1,0,5.6,Low,0,7,0,0,55.8,1,C
15,Male,1.7,91.7,66,None,1,0,8.5,Medium,17,3,1,0,78.6,1,B
18,Male,7.1,48.2,87,None,1,1,8.3,Low,8,5,0,0,88.0,1,A
16,Female,6.7,97.1,47,Bachelor,1,0,4.8,Low,19,11,1,1,94.6,1,A
20,Female,9.7,59.7,62,Bachelor,1,1,9.3,Low,8,8,1,0,100.0,1,A
21,Female,7.6,79.7,99,Master,1,1,5.1,Medium,1,13,0,0,100.0,1,A
20,Female,9.5,85.1,81,Bachelor,1,1,8.8,Low,18,6,0,0,100.0,1,A
17,Male,7.0,88.7,88,None,0,1,6.7,Low,15,1,1,0,100.0,1,A
18,Male,3.0,96.7,98,Master,1,0,6.0,Low,2,10,0,1,95.6,1,A
19,Male,1.1,58.8,68,None,1,1,4.9,High,15,1,1,0,54.5,1,C
15,Male,7.8,91.5,89,High School,1,0,5.0,Medium,12,2,0,0,89.5,1,A
19,Male,6.4,47.9,59,Bachelor,1,1,8.0,High,2,7,1,0,63.4,1,C
18,Female,0.5,82.3,55,High School,1,1,7.3,Medium,9,9,0,0,66.6,1,B
18,Male,3.6,84.5,56,None,1,1,4.7,Medium,17,14,0,0,89.0,1,A
18,Female,9.6,80.7,55,High School,1,0,4.7,High,5,8,0,0,70.6,1,B
19,Female,5.0,55.1,58,High School,1,0,4.4,Medium,5,12,1,1,56.1,1,C
21,Female,4.3,92.4,95,None,1,0,8.5,Medium,17,13,1,0,100.0,1,A
18,Female,4.6,50.1,95,None,1,0,8.3,High,5,2,0,0,54.0,1,C
20,Male,2.1,43.2,47,Bachelor,1,0,4.4,Low,5,8,0,0,41.1,1,D
19,Female,3.7,83.0,77,High School,1,1,7.4,Medium,12,11,0,0,91.3,1,A
18,Female,3.7,68.5,77,Master,1,0,4.5,High,13,11,0,0,62.6,1,C
20,Female,0.5,90.9,92,Master,1,1,9.4,Medium,6,9,1,0,87.5,1,A
21,Male,7.7,63.0,68,None,1,1,9.4,High,12,11,0,1,81.7,1,A
17,Male,4.2,50.1,80,None,1,1,8.2,Low,14,7,1,0,89.1,1,A
21,Male,8.2,90.2,75,High School,1,0,9.6,Medium,11,4,1,0,100.0,1,A
18,Female,8.5,72.9,65,None,1,0,8.9,Low,0,10,0,0,81.9,1,A
19,Female,2.1,51.4,70,Master,1,0,9.0,Low,2,9,1,0,57.4,1,C
16,Male,6.6,83.2,83,Bachelor,1,0,7.4,High,17,2,0,0,88.9,1,A
18,Female,4.7,70.7,99,Bachelor,1,1,5.8,Medium,7,10,0,0,83.3,1,A
16,Male,8.8,76.3,51,High School,0,0,5.3,Medium,1,6,1,0,62.9,1,C
20,Male,2.2,67.7,94,Bachelor,1,1,6.0,Medium,3,8,0,0,72.5,1,B
17,Female,6.8,89.7,56,None,1,1,7.8,Medium,17,11,0,1,95.1,1,A
15,Female,6.1,89.8,54,None,1,1,5.0,Medium,12,5,1,0,81.5,1,A
21,Female,3.0,82.6,48,None,1,0,5.6,High,14,2,1,0,52.9,1,C
17,Female,1.4,46.3,78,None,1,0,6.8,Medium,1,4,0,1,37.5,0,F
18,Male,6.5,90.3,81,High School,1,1,5.4,Low,9,6,1,0,100.0,1,A
16,Male,7.4,80.3,87,Bachelor,0,0,7.5,Low,1,7,0,1,73.0,1,B
21,Male,3.2,81.8,51,Master,0,0,9.5,Medium,11,12,1,0,73.7,1,B
16,Male,6.4,61.8,71,Bachelor,1,0,8.5,High,4,13,0,0,72.2,1,B
19,Male,4.0,92.8,64,None,1,0,8.0,High,11,11,1,0,74.4,1,B
16,Female,7.1,83.5,78,Master,1,1,7.5,Medium,0,3,1,0,85.6,1,A
19,Male,2.0,46.8,57,High School,1,0,6.9,Low,1,1,0,0,37.0,0,F
20,Male,8.9,64.5,54,None,0,1,5.1,Medium,15,9,1,1,78.5,1,B
21,Male,2.9,93.2,71,None,1,0,9.4,Medium,1,1,1,1,61.2,1,C
21,Female,3.7,42.8,45,Master,1,1,5.5,Medium,15,11,1,0,69.8,1,B
15,Female,0.6,97.7,97,High School,0,1,4.5,High,19,2,0,1,77.7,1,B
18,Female,1.1,80.7,83,Master,0,1,8.5,High,15,7,0,1,66.8,1,B
19,Female,5.2,77.9,82,High School,0,0,5.1,Low,5,0,1,0,73.7,1,B
15,Male,2.7,56.2,91,None,0,0,6.2,Low,12,13,0,0,73.2,1,B
16,Male,8.4,54.9,74,Bachelor,1,0,4.2,Medium,11,6,1,0,90.0,1,A
16,Female,0.1,96.5,73,None,0,1,4.8,Low,9,5,0,1,68.4,1,B
15,Female,3.8,57.9,77,Bachelor,1,1,5.0,Medium,4,13,0,1,63.6,1,C
21,Male,3.4,86.5,95,Bachelor,0,1,4.3,Low,7,1,0,0,72.2,1,B
16,Male,0.2,63.6,93,High School,1,0,7.9,Medium,5,8,1,0,59.7,1,C
20,Female,1.2,48.4,96,Master,1,1,9.0,High,4,12,1,1,52.9,1,C
20,Female,4.1,40.6,44,High School,1,0,6.2,Medium,19,11,0,0,69.7,1,B
15,Female,4.9,72.7,57,None,1,1,9.2,High,5,4,1,0,68.3,1,B
19,Female,4.0,98.5,55,Master,1,0,5.3,High,16,1,0,0,68.9,1,B
19,Male,5.3,62.1,47,Bachelor,1,1,6.0,Low,5,2,1,0,70.8,1,B
15,Male,6.0,61.4,64,Bachelor,0,0,4.9,Low,16,6,0,0,70.6,1,B
19,Male,0.1,60.6,71,None,1,0,7.7,High,4,6,1,0,39.3,0,F
21,Female,4.6,71.2,65,Master,1,1,6.5,Medium,16,9,0,0,88.5,1,A
21,Female,9.6,66.4,91,None,1,0,7.7,Medium,16,0,1,1,93.5,1,A
19,Male,5.2,92.8,61,None,0,1,8.6,Low,12,14,0,0,100.0,1,A
20,Male,6.8,70.3,70,High School,1,1,7.3,Medium,6,9,0,0,89.6,1,A
19,Male,3.1,70.5,82,None,1,1,7.8,Medium,5,13,0,0,79.3,1,B
21,Male,7.7,48.3,49,Master,0,0,9.6,Medium,13,10,1,0,79.1,1,B
17,Female,7.7,99.0,95,None,1,0,5.8,High,15,10,0,1,94.3,1,A
18,Male,5.2,55.0,96,Master,0,1,6.2,High,2,11,1,1,68.9,1,B
16,Male,9.8,44.4,51,Bachelor,1,0,8.3,Medium,8,3,0,0,76.0,1,B
17,Male,1.3,79.8,92,None,1,1,7.7,Low,14,5,0,0,80.7,1,A
19,Male,0.2,75.7,67,Master,1,0,5.1,Medium,17,7,0,0,60.8,1,C
20,Male,7.7,64.9,45,Bachelor,1,0,6.3,Low,9,2,1,0,80.1,1,A
15,Male,8.1,65.3,98,Master,1,0,6.8,High,9,13,1,0,97.5,1,A
19,Male,1.2,87.1,59,Bachelor,0,0,6.5,Medium,2,2,1,0,48.6,1,D
20,Female,2.7,51.7,44,High School,1,0,5.1,Medium,0,7,1,1,38.8,0,F
18,Female,0.2,89.2,62,None,1,1,9.5,Low,2,7,0,0,78.0,1,B
19,Female,2.9,78.9,48,None,1,1,8.6,Low,4,7,1,0,82.3,1,A
21,Female,7.7,65.1,97,Bachelor,1,0,6.9,Medium,6,0,0,0,81.0,1,A
15,Male,5.2,67.5,98,High School,0,1,8.1,Medium,2,7,1,0,80.4,1,A
20,Female,3.5,55.4,68,Master,1,1,9.4,Low,3,7,0,0,77.9,1,B
20,Female,3.7,85.1,55,High School,1,1,4.8,High,16,1,1,0,75.9,1,B
20,Male,0.0,70.8,93,Master,1,1,5.5,Low,2,11,0,1,58.9,1,C
18,Male,3.0,59.3,85,Master,1,1,7.3,Medium,3,8,0,0,71.5,1,B
19,Female,6.5,75.8,61,None,1,0,8.8,High,1,6,0,0,64.7,1,C
18,Female,9.7,99.7,47,Bachelor,1,0,4.2,High,13,7,0,0,84.6,1,A
16,Male,8.5,66.1,98,None,1,0,9.9,High,4,1,0,1,66.5,1,B
16,Female,0.2,95.2,59,None,0,1,6.7,High,1,3,1,0,44.1,1,D
19,Male,9.0,60.7,90,None,1,0,6.2,Medium,14,6,1,0,94.4,1,A
21,Male,7.8,43.3,53,Master,1,1,5.8,High,10,5,0,1,53.7,1,C
18,Male,7.8,52.3,78,None,0,0,5.0,Low,9,6,0,0,73.7,1,B
15,Male,4.6,65.1,76,Master,0,1,8.7,Low,19,0,0,1,84.1,1,A
20,Female,4.0,53.2,89,Bachelor,1,0,9.7,Low,0,7,1,0,71.6,1,B
20,Male,3.0,40.0,73,Master,1,0,6.5,Medium,18,12,0,0,75.1,1,B
19,Male,0.7,94.9,50,Master,1,0,9.7,High,13,6,0,0,60.8,1,C
21,Female,2.3,90.6,93,High School,0,0,8.9,Low,13,12,0,0,81.6,1,A
16,Male,2.5,84.5,79,None,1,0,6.9,Low,0,3,0,0,62.1,1,C
16,Female,4.8,50.1,72,None,0,1,8.0,Low,8,0,0,0,64.9,1,C
20,Female,7.5,47.2,70,None,1,0,6.6,High,16,14,0,0,79.8,1,B
19,Female,4.7,44.1,98,None,1,0,7.4,Low,13,7,0,1,76.8,1,B
18,Male,0.6,83.4,93,High School,1,1,4.3,High,12,9,0,0,60.8,1,C
16,Female,9.6,95.7,83,High School,1,0,8.2,High,12,6,0,0,100.0,1,A
18,Female,9.4,65.8,73,High School,1,1,4.3,High,5,7,1,0,86.9,1,A
21,Male,7.9,47.1,89,High School,1,1,8.9,Medium,6,9,0,0,96.8,1,A
16,Female,9.9,70.7,46,None,1,0,8.9,Medium,1,0,0,1,55.8,1,C
16,Female,5.4,60.9,97,Master,1,0,5.4,High,7,4,0,1,66.7,1,B
17,Female,9.6,62.5,88,Bachelor,1,0,5.9,High,5,8,1,0,75.4,1,B
16,Female,0.8,77.3,93,High School,0,1,6.9,Medium,2,4,1,0,67.7,1,B
15,Female,3.7,83.1,62,Master,0,1,7.6,Medium,17,12,1,0,93.0,1,A
19,Male,2.3,46.6,85,High School,1,1,5.7,High,17,13,0,0,72.7,1,B
19,Female,2.0,42.1,95,None,1,1,7.6,Medium,5,13,0,1,58.9,1,C
18,Female,1.4,99.7,46,None,1,0,5.8,Low,10,9,0,0,58.6,1,C
21,Male,6.2,54.0,93,Master,1,1,4.3,High,2,11,0,0,69.5,1,B
16,Male,7.8,43.2,64,Master,1,1,4.0,High,15,2,0,0,76.1,1,B
15,Male,5.8,51.4,42,Master,1,1,4.6,Medium,4,8,1,0,63.5,1,C
18,Female,1.5,42.3,98,None,1,1,8.8,Low,1,12,1,0,64.0,1,C
